"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","CLT","2023","33","335","404","42","50","-8","35.32","48.25","-12.93","4.93","40","35.30"
"","CHI","2023","33","336","459","36","48","-12","36.24","50.22","-13.98","1.98","40","36.14"
"","SKC","2022","34","415","389","40","53","-13","39.25","43.44","-4.19","-8.81","40","42.92"
"","CHI","2022","34","429","409","39","47","-8","44.34","46.71","-2.37","-5.63","39","45.76"
"","NYC","2023","33","405","359","33","38","-5","39.03","34.33","4.70","-9.70","38","47.57"
"","ATX","2023","33","395","481","47","53","-6","40.86","48.53","-7.67","1.67","38","39.93"
"","HOU","2022","34","390","501","43","54","-11","42.48","54.00","-11.53","0.53","36","38.79"
"","LAG","2023","33","480","467","49","61","-12","50.41","49.57","0.84","-12.84","36","46.11"
"","SJE","2022","34","455","481","52","69","-17","44.16","58.12","-13.95","-3.05","35","38.66"
"","MIA","2023","33","355","452","41","50","-9","36.70","51.87","-15.17","6.17","34","35.25"
"","TOR","2022","34","372","492","48","64","-16","43.03","56.32","-13.29","-2.71","34","39.14"
"","CHI","2021","34","473","488","34","51","-17","39.55","50.64","-11.09","-5.91","34","39.33"
"","FCD","2021","34","446","490","46","55","-9","44.32","50.16","-5.85","-3.15","33","42.56"
"","ATX","2021","34","450","515","34","55","-21","41.25","53.49","-12.23","-8.77","31","40.60"
"","HOU","2021","34","426","448","34","51","-17","39.66","46.71","-7.05","-9.95","30","40.99"
"","TOR","2021","34","350","471","37","64","-27","39.02","54.35","-15.33","-11.67","28","35.74"
"","COL","2023","33","347","470","26","53","-27","34.33","44.63","-10.30","-16.70","27","40.07"
"","DCU","2022","34","357","487","36","68","-32","37.33","53.50","-16.17","-15.83","27","36.84"
"","TOR","2023","33","336","482","26","55","-29","31.38","53.48","-22.10","-6.90","22","32.21"
"","CIN","2021","34","405","532","36","73","-37","37.74","57.29","-19.55","-17.45","20","33.89"
